candidate_index,article,candidate_id,title,provision,obligation,actor,applicability,machine_constraint,evidence_expected,source_quote,matched_requirement_id,relevance,obligation_correct,applicability_correct,machine_constraint_correct,provenance_correct,notes,reviewer
11,9,LLM-R09-11,Consideration of vulnerable persons,Article 9(9),"When implementing the risk management system, consider whether the system is likely to have an adverse impact on persons under 18 and, where appropriate, other vulnerable groups",Provider of a high‑risk AI system,During risk‑management system design for all high‑risk AI systems,Include a vulnerability impact assessment covering minors (<18 years) and other identified vulnerable groups,"[""Vulnerability impact assessment report"", ""Mitigation actions targeting identified vulnerable‑group risks""]","When implementing the risk management system as provided for in paragraphs 1 to 7, providers shall give consideration to whether in view of its intended purpose the high-risk AI system is likely to have an adverse impact on persons under the age of 18 and, as appropriate, other vulnerable groups.",,,,,,,,
12,9,LLM-R09-12,Integration with other Union law risk‑management processes,Article 9(10),Allow the aspects of this Article to be part of or combined with internal risk‑management procedures established pursuant to other relevant Union law,Provider of a high‑risk AI system subject to other Union law internal risk‑management requirements,When the provider already has internal risk‑management obligations under other Union legislation,Document how the risk‑management activities required by this Article are mapped to or merged with existing Union‑law risk‑management processes,"[""Cross‑reference matrix between EU AI Act risk‑management steps and other Union law procedures""]","For providers of high-risk AI systems that are subject to requirements regarding internal risk management processes under other relevant provisions of Union law, the aspects provided in paragraphs 1 to 9 may be part of, or combined with, the risk management procedures established pursuant to that law.",,,,,,,,
13,10,LLM-R10-01,Use of data sets meeting quality criteria,Article 10(1),"Develop high‑risk AI systems that use model‑training techniques on training, validation and testing data sets that meet the quality criteria listed in Articles 10(2)‑(4) and Article 4a(1).",provider or developer of a high‑risk AI system,high‑risk AI systems employing techniques involving the training of AI models,"∀ ds ∈ {training, validation, testing} : ds.meetsQualityCriteria == true  // criteria defined in Art10(2‑4) & Art4a(1)","[""data‑set quality assessment report"", ""mapping to Article 4a(1) compliance checklist""]","High-risk AI systems which make use of techniques involving the training of AI models with data shall be developed on the basis of training, validation and testing data sets that meet the quality criteria referred to in paragraphs 2, 3 and 4 of this Article and in Article 4a(1) whenever such data sets are used.",,,,,,,,
14,10,LLM-R10-02,Adopt appropriate data governance and management practices,Article 10(2),"Implement data governance and management practices appropriate to the intended purpose of the high‑risk AI system, covering design choices, data collection, preparation, assumptions, availability assessment, bias examination, bias mitigation, and data‑gap identification.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets","DataGovernance.practiceSet ⊇ {designChoices, collectionInfo, preparationOps, assumptions, availabilityAssessment, biasExamination, biasMitigation, gapIdentification}","[""data governance policy document"", ""record of design decisions affecting data""]","Training, validation and testing data sets shall be subject to data governance and management practices appropriate for the intended purpose of the high-risk AI system. Those practices shall concern in particular:
(a) the relevant design choices;
(b) data collection processes and the origin of data, and in the case of personal data, the original purpose of the data collection;
(c) relevant data-preparation processing operations, such as annotation, labelling, cleaning, updating, enrichment and aggregation;
(d) the formulation of assumptions, in particular with respect to the information that the data are supposed to measure and represent;
(e) an assessment of the availability, quantity and suitability of the data sets that are needed;
(f) examination in view of possible biases that are likely to affect the health and safety of persons, have a negative impact on fundamental rights or lead to discrimination prohibited under Union law, especially where data outputs influence inputs for future operations;
(g) appropriate measures to detect, prevent and mitigate possible biases identified according to point (f);
(h) the identification of relevant data gaps or shortcomings that prevent compliance with this Regulation, and how those gaps and shortcomings can be addressed.",,,,,,,,
15,10,LLM-R10-02a,Consider relevant design choices in data governance,Article 10(2)(a),Take into account relevant design choices affecting the data sets during data governance.,provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",DataGovernance.considersDesignChoices == true,"[""design‑choice impact analysis on data""]",(a) the relevant design choices;,,,,,,,,
16,10,LLM-R10-02b,Document data collection processes and origin,Article 10(2)(b),"Document data collection processes, data origin, and for personal data the original purpose of collection.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",DataSet.collectionInfo.recorded == true && (if DataSet.containsPersonalData => DataSet.originalPurpose.recorded == true),"[""metadata registry of data sources and collection purpose""]","(b) data collection processes and the origin of data, and in the case of personal data, the original purpose of the data collection;",,,,,,,,
17,10,LLM-R10-02c,Record data‑preparation operations,Article 10(2)(c),"Maintain records of data‑preparation operations such as annotation, labelling, cleaning, updating, enrichment and aggregation.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets","DataSet.preparationLog.containsAll {annotation, labelling, cleaning, updating, enrichment, aggregation}","[""data‑preparation log or provenance metadata""]","(c) relevant data-preparation processing operations, such as annotation, labelling, cleaning, updating, enrichment and aggregation;",,,,,,,,
18,10,LLM-R10-02d,Formulate and document assumptions about data,Article 10(2)(d),Formulate and document assumptions regarding what the data are intended to measure and represent.,provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",DataSet.assumptionsDocumented == true,"[""assumptions statement linked to each data set""]","(d) the formulation of assumptions, in particular with respect to the information that the data are supposed to measure and represent;",,,,,,,,
19,10,LLM-R10-02e,"Assess availability, quantity and suitability of data sets",Article 10(2)(e),"Perform an assessment of the availability, quantity and suitability of the data sets required for the system.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",DataSet.availabilityAssessment.completed == true && DataSet.quantityAssessment.completed == true && DataSet.suitabilityAssessment.completed == true,"[""availability and adequacy assessment report""]","(e) an assessment of the availability, quantity and suitability of the data sets that are needed;",,,,,,,,
20,10,LLM-R10-02f,"Examine potential biases affecting health, safety, fundamental rights or discrimination",Article 10(2)(f),"Examine data sets for biases that could affect health and safety, fundamental rights or lead to prohibited discrimination, especially when data outputs influence future inputs.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",BiasAnalysis.conducted == true && BiasAnalysis.resultsDocumented == true,"[""bias impact assessment""]","(f) examination in view of possible biases that are likely to affect the health and safety of persons, have a negative impact on fundamental rights or lead to discrimination prohibited under Union law, especially where data outputs influence inputs for future operations;",,,,,,,,
21,10,LLM-R10-02g,"Implement measures to detect, prevent and mitigate identified biases",Article 10(2)(g),"Apply appropriate measures to detect, prevent and mitigate biases identified in the bias examination.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",BiasMitigation.measuresImplemented == true && BiasMitigation.efficacyEvaluated == true,"[""bias mitigation plan and effectiveness evaluation""]","(g) appropriate measures to detect, prevent and mitigate possible biases identified according to point (f);",,,,,,,,
22,10,LLM-R10-02h,Identify and address data gaps or shortcomings,Article 10(2)(h),Identify relevant data gaps or shortcomings that prevent compliance and outline how they will be addressed.,provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",DataGapAnalysis.completed == true && DataGapRemediationPlan.available == true,"[""data‑gap analysis report"", ""remediation action plan""]","(h) the identification of relevant data gaps or shortcomings that prevent compliance with this Regulation, and how those gaps and shortcomings can be addressed.",,,,,,,,
23,10,LLM-R10-03,"Ensure relevance, representativeness, error‑freedom and completeness of data sets",Article 10(3),"Ensure training, validation and testing data sets are relevant, sufficiently representative, as error‑free as possible, complete for the intended purpose and possess appropriate statistical properties.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets",DataSet.relevant == true && DataSet.representative == true && DataSet.errorRate ≤ acceptableThreshold && DataSet.complete == true && DataSet.statisticalPropertiesSuitable == true,"[""data quality and representativeness report"", ""statistical properties validation worksheet""]","Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible, free of errors and complete in view of the intended purpose. They shall have the appropriate statistical properties, including, where applicable, as regards the persons or groups of persons in relation to whom the high-risk AI system is intended to be used.",,,,,,,,
24,10,LLM-R10-04,"Adapt data sets to specific geographical, contextual, behavioural or functional settings",Article 10(4),"Take into account, to the extent required by the intended purpose, characteristics specific to the geographical, contextual, behavioural or functional setting of the intended use.",provider or developer of a high‑risk AI system,"high‑risk AI systems using training, validation or testing data sets","DataSet.contextualAdaptation.includes({geographical, contextual, behavioural, functional}) == true","[""contextual adaptation analysis""]","Data sets shall take into account, to the extent required by the intended purpose, the characteristics or elements that are particular to the specific geographical, contextual, behavioural or functional setting within which the high-risk AI system is intended to be used.",,,,,,,,
25,10,LLM-R10-06,Limited applicability of data‑quality requirements to testing data sets for non‑training systems,Article 10(6),"When a high‑risk AI system does not use model‑training techniques, apply the requirements of Articles 10(2)‑(4) and Article 4a(1) only to the testing data sets.",provider or developer of a high‑risk AI system,high‑risk AI systems that do NOT use techniques involving the training of AI models,if System.usesTrainingTechniques == false then Requirements.applyTo == {testingDataSets},"[""statement of non‑training nature of the system"", ""compliance evidence limited to testing data sets""]","For the development of high-risk AI systems not using techniques involving the training of AI models, paragraphs 2, 3 and 4 of this Article and Article 4a(1) shall apply only to the testing data sets.",,,,,,,,
26,12,LLM-R12-01,Automatic event recording over system lifetime,Article 12(1),High‑risk AI systems must technically allow for the automatic recording of events (logs) over the lifetime of the system.,Provider of the high‑risk AI system,All high‑risk AI systems as defined by the EU AI Act,"System shall generate immutable, tamper‑evident logs for every operational event from initial activation until decommissioning, without manual intervention.","[""Log files covering the entire operational period"", ""Metadata proving automatic generation (e.g., timestamps, system IDs)""]",High-risk AI systems shall technically allow for the automatic recording of events (logs) over the lifetime of the system.,,,,,,,,
27,12,LLM-R12-02,"Logging of events relevant to risk identification, post‑market monitoring and operational oversight",Article 12(2),"Logging capabilities shall enable the recording of events relevant for (a) identifying situations that may result in a risk or substantial modification, (b) facilitating post‑market monitoring, and (c) monitoring the operation of high‑risk AI systems referred to in Article 26(5).",Provider of the high‑risk AI system,All high‑risk AI systems,"Log schema must include fields to capture risk‑triggering situations, post‑market monitoring data, and operational metrics required by Article 26(5), and must be searchable by these categories.","[""Structured log entries indicating risk‑related events"", ""Entries supporting post‑market monitoring activities"", ""Operational monitoring records as defined in Article 26(5)""]","logging capabilities shall enable the recording of events relevant for:
(a) identifying situations that may result in the high-risk AI system presenting a risk within the meaning of Article 79(1) or in a substantial modification;
(b) facilitating the post-market monitoring referred to in Article 72; and
(c) monitoring the operation of high-risk AI systems referred to in Article 26(5).",,,,,,,,
28,12,LLM-R12-03,Record of each usage period,Article 12(3)(a),Logging shall record the period of each use of the system (start date and time and end date and time of each use).,Provider of the high‑risk AI system,High‑risk AI systems covered by point 1(a) of Annex III,"For every activation session, the system must write a log entry with fields: session_start_timestamp, session_end_timestamp, and a unique session identifier.","[""Log entries listing start and end timestamps for each use session""]",recording of the period of each use of the system (start date and time and end date and time of each use);,,,,,,,,
29,12,LLM-R12-04,Record of reference database used for input verification,Article 12(3)(b),Logging shall capture the reference database against which input data has been checked by the system.,Provider of the high‑risk AI system,High‑risk AI systems covered by point 1(a) of Annex III,Log entries must include the identifier or version of the reference database employed for each verification operation.,"[""Log lines containing database name, version, or hash used during input validation""]",the reference database against which input data has been checked by the system;,,,,,,,,
30,12,LLM-R12-05,Record of input data that resulted in a match,Article 12(3)(c),Logging shall record the input data for which the search has led to a match.,Provider of the high‑risk AI system,High‑risk AI systems covered by point 1(a) of Annex III,"For each successful match operation, the system must log a representation of the input data (e.g., hash or anonymised excerpt) that triggered the match.","[""Log entries showing input data identifiers or hashes linked to matched outcomes""]",the input data for which the search has led to a match;,,,,,,,,
31,12,LLM-R12-06,Record of natural persons verifying results,Article 12(3)(d),"Logging shall identify the natural persons involved in the verification of the results, as referred to in Article 14(5).",Provider of the high‑risk AI system,High‑risk AI systems covered by point 1(a) of Annex III,"Log entries must capture the unique identifier (e.g., employee ID) of each human verifier who reviews or validates system outputs.","[""Log records linking verification actions to specific natural person identifiers""]","the identification of the natural persons involved in the verification of the results, as referred to in Article 14(5).",,,,,,,,
32,13,LLM-R13-01,Transparency by design and development,Article 13(1),Design and develop the high‑risk AI system so that its operation is sufficiently transparent to enable deployers to interpret its output and use it appropriately.,Provider,High‑risk AI systems,"System architecture and accompanying documentation must contain explicit interpretability mechanisms (e.g., model‑explainability artefacts, output‑mapping logic) that can be accessed by deployers.","[""Design documentation describing transparency measures"", ""Interpretability artefact specifications"", ""Transparency‑assessment report""]",High-risk AI systems shall be designed and developed in such a way as to ensure that their operation is sufficiently transparent to enable deployers to interpret a system’s output and use it appropriately.,,,,,,,,
33,13,LLM-R13-02,Provision of user instructions in digital format,Article 13(2),"Accompany the high‑risk AI system with instructions for use in an appropriate digital format (or otherwise) that are concise, complete, correct, clear, relevant, accessible and comprehensible to deployers.",Provider,High‑risk AI systems,"Deliver an instruction package in a machine‑readable digital format (e.g., PDF/HTML/JSON) that includes required informational sections and meets accessibility standards (e.g., WCAG).","[""Digital instruction file"", ""Accessibility compliance statement""]","High-risk AI systems shall be accompanied by instructions for use in an appropriate digital format or otherwise that include concise, complete, correct and clear information that is relevant, accessible and comprehensible to deployers.",,,,,,,,
34,13,LLM-R13-03a,Provider identity and contact details,Article 13(3)(a),"Include the identity and contact details of the provider and, where applicable, of its authorised representative in the instructions for use.",Provider,High‑risk AI systems,"Instruction set must contain fields: provider_name, provider_address, provider_email, representative_name (optional), representative_contact.","[""Contact‑information section in the instruction document""]","(a) the identity and the contact details of the provider and, where applicable, of its authorised representative;",,,,,,,,
35,13,LLM-R13-03b-i,Declared intended purpose,Article 13(3)(b)(i),State the intended purpose of the high‑risk AI system.,Provider,High‑risk AI systems,Instructions must contain an 'intended_purpose' field describing the specific application(s) for which the system is designed.,"[""Purpose description in the instruction document""]",(i) its intended purpose;,,,,,,,,
36,13,LLM-R13-03b-ii,Performance metrics and robustness information,Article 13(3)(b)(ii),"Provide the level of accuracy, associated metrics, robustness and cybersecurity information as tested and validated (per Article 15), together with any known or foreseeable circumstances that may impact these levels.",Provider,High‑risk AI systems,"Instruction set must include a 'performance_metrics' object containing: accuracy_value, accuracy_metric, robustness_measures, cybersecurity_measures, test_conditions, and a 'known_circumstances' list.","[""Performance‑metrics table"", ""Test‑validation report""]","(ii) the level of accuracy, including its metrics, robustness and cybersecurity referred to in Article 15 against which the high-risk AI system has been tested and validated and which can be expected, and any known and foreseeable circumstances that may have an impact on that expected level of accuracy, robustness and cybersecurity;",,,,,,,,
37,13,LLM-R13-03b-iii,Risk scenarios related to misuse,Article 13(3)(b)(iii),"Identify any known or foreseeable circumstances, related to use in accordance with the intended purpose or reasonably foreseeable misuse, that may lead to risks to health, safety or fundamental rights (Article 9(2)).",Provider,High‑risk AI systems,"Include a 'risk_scenarios' list describing each circumstance, its likelihood, and potential impact on health, safety or fundamental rights.","[""Risk‑scenario catalogue"", ""Risk‑assessment documentation""]","(iii) any known or foreseeable circumstance, related to the use of the high-risk AI system in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, which may lead to risks to the health and safety or fundamental rights referred to in Article 9(2);",,,,,,,,
38,13,LLM-R13-03b-iv,Technical characteristics for output explanation,Article 13(3)(b)(iv),"Where applicable, describe the technical capabilities and characteristics that are relevant for explaining the system’s output.",Provider,High‑risk AI systems,"Provide a 'technical_explanation' section detailing model type, feature importance methods, or rule sets used to generate outputs.","[""Technical explanation documentation""]","(iv) where applicable, the technical capabilities and characteristics of the high-risk AI system to provide information that is relevant to explain its output;",,,,,,,,
39,13,LLM-R13-03b-v,Performance for specific persons or groups,Article 13(3)(b)(v),"When appropriate, disclose the system’s performance regarding specific persons or groups of persons for which it is intended.",Provider,High‑risk AI systems,"Include a 'group_performance' table with accuracy, false‑positive/negative rates, or other relevant metrics broken down by demographic group.","[""Disaggregated performance report""]","(v) when appropriate, its performance regarding specific persons or groups of persons on which the system is intended to be used;",,,,,,,,
40,13,LLM-R13-03b-vi,Input‑data and training dataset specifications,Article 13(3)(b)(vi),"When appropriate, provide specifications for the input data and any other relevant information about the training, validation and testing datasets used, considering the intended purpose.",Provider,High‑risk AI systems,"Add an 'input_data_spec' section and a 'dataset_overview' object describing data sources, preprocessing, size, representativeness, and validation methodology.","[""Dataset specification sheet"", ""Data provenance records""]","(vi) when appropriate, specifications for the input data, or any other relevant information in terms of the training, validation and testing data sets used, taking into account the intended purpose of the high-risk AI system;",,,,,,,,
41,13,LLM-R13-03b-vii,Guidance to interpret system output,Article 13(3)(b)(vii),"Where applicable, furnish information that enables deployers to interpret the output of the high‑risk AI system and use it appropriately.",Provider,High‑risk AI systems,"Supply an 'output_interpretation_guide' detailing output formats, confidence scores, and recommended decision‑making steps.","[""Interpretation guide document""]","(vii) where applicable, information to enable deployers to interpret the output of the high-risk AI system and use it appropriately;",,,,,,,,
42,13,LLM-R13-03c,Pre‑determined changes and performance post‑conformity assessment,Article 13(3)(c),List any changes to the high‑risk AI system and its performance that were pre‑determined by the provider at the time of the initial conformity assessment.,Provider,High‑risk AI systems,"Include a 'pre_determined_changes' catalogue documenting each change, its rationale, and expected performance impact.","[""Change‑log annex to the instruction set""]","(c) the changes to the high-risk AI system and its performance which have been pre-determined by the provider at the moment of the initial conformity assessment, if any;",,,,,,,,
43,13,LLM-R13-03d,Human‑oversight measures and interpretability aids,Article 13(3)(d),"Describe the human‑oversight measures required by Article 14, including technical measures that facilitate deployers’ interpretation of the system’s outputs.",Provider,High‑risk AI systems,"Provide a 'human_oversight' section enumerating oversight roles, intervention points, and any UI/visualisation tools that support output interpretation.","[""Human‑oversight design description""]","(d) the human oversight measures referred to in Article 14, including the technical measures put in place to facilitate the interpretation of the outputs of the high-risk AI systems by the deployers;",,,,,,,,
44,13,LLM-R13-03e,"Computational resources, lifetime and maintenance",Article 13(3)(e),"Specify the computational and hardware resources required, the expected lifetime of the system, and any necessary maintenance and care measures (including frequency and software updates) to ensure proper functioning.",Provider,High‑risk AI systems,"Add a 'resource_and_maintenance' module containing fields: cpu_requirements, gpu_requirements, storage, expected_lifetime_years, maintenance_schedule, update_policy.","[""Resource specification sheet"", ""Maintenance plan""]","(e) the computational and hardware resources needed, the expected lifetime of the high-risk AI system and any necessary maintenance and care measures, including their frequency, to ensure the proper functioning of that AI system, including as regards software updates;",,,,,,,,
45,13,LLM-R13-03f,"Logging mechanisms for collection, storage and interpretation",Article 13(3)(f),"Where relevant, describe the mechanisms within the system that allow deployers to properly collect, store and interpret logs in accordance with Article 12.",Provider,High‑risk AI systems,"Provide a 'logging_mechanism' description detailing log format, retention period, access controls, and tools for log analysis.","[""Logging architecture diagram"", ""Log‑management policy""]","(f) where relevant, a description of the mechanisms included within the high-risk AI system that allows deployers to properly collect, store and interpret the logs in accordance with Article 12.",,,,,,,,
46,14,LLM-R14-01,Design for effective human oversight,Article 14(1),"High‑risk AI systems shall be designed and developed so that they can be effectively overseen by natural persons during the period in which they are in use, including with appropriate human‑machine interface tools.",Provider (designer / developer),All high‑risk AI systems placed on the market or put into service,The system must embed or expose human‑machine interface capabilities that enable a natural person to monitor and control the system effectively throughout its operational life.,"[""Design documentation describing oversight‑enabling features"", ""User‑interface specifications"", ""Verification test reports demonstrating effective human oversight"", ""Technical files submitted to authorities""]","High-risk AI systems shall be designed and developed in such a way, including with appropriate human-machine interface tools, that they can be effectively overseen by natural persons during the period in which they are in use.",,,,,,,,
47,14,LLM-R14-02,Human oversight to prevent or minimise core risks,Article 14(2),"Human oversight shall aim to prevent or minimise risks to health, safety or fundamental rights that may emerge when a high‑risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, especially where such risks persist despite other requirements.",Provider and Deployer (through overseers),All high‑risk AI systems,"The oversight process must target the mitigation of health, safety and fundamental‑rights risks that remain after application of other statutory safeguards.","[""Risk‑assessment reports linking oversight measures to identified health/safety/fundamental‑rights risks"", ""Procedures or guidelines for overseers describing risk‑prevention actions""]","Human oversight shall aim to prevent or minimise the risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse, in particular where such risks persist despite the application of other requirements set out in this Section.",,,,,,,,
48,14,LLM-R14-03,Built‑in oversight measures (provider‑implemented),Article 14(3)(a),"When technically feasible, the provider shall identify and embed oversight measures into the high‑risk AI system before it is placed on the market or put into service.",Provider,High‑risk AI systems where technical feasibility allows embedding of oversight measures,"The system shall contain integrated functionalities (e.g., monitoring dashboards, alerts, safe‑stop mechanisms) that enable oversight without external add‑ons.","[""Source code or firmware showing built‑in oversight functions"", ""Technical documentation describing the integrated oversight features"", ""Verification test results confirming operation of built‑in measures""]","measures identified and built, when technically feasible, into the high-risk AI system by the provider before it is placed on the market or put into service",,,,,,,,
49,14,LLM-R14-04,Provider‑identified oversight measures for deployer implementation,Article 14(3)(b),The provider shall identify oversight measures before placing the high‑risk AI system on the market or putting it into service that are appropriate to be implemented by the deployer.,Provider (identification) and Deployer (implementation),All high‑risk AI systems,"The provider must supply clear specifications of the oversight measures that the deployer must put in place (e.g., procedural controls, external monitoring tools).","[""Oversight‑measure specification document delivered to the deployer"", ""Implementation checklist or acceptance criteria for the deployer""]",measures identified by the provider before placing the high-risk AI system on the market or putting it into service and that are appropriate to be implemented by the deployer.,,,,,,,,
50,14,LLM-R14-05,"Enable overseer understanding, monitoring and bias awareness",Article 14(4)(a)‑(b),"The provider shall deliver the high‑risk AI system to the deployer in a manner that enables natural persons assigned to human oversight to properly understand the system’s capacities and limitations, monitor its operation (including detecting anomalies), and remain aware of automation bias.",Provider,All high‑risk AI systems,"Delivery must include documentation, training material, and interface features that convey system capabilities, limits, and bias‑awareness guidance.","[""User manuals describing capacities and limitations"", ""Training records on automation‑bias awareness"", ""Monitoring dashboards or anomaly‑detection indicators""]","to properly understand the relevant capacities and limitations of the high-risk AI system and be able to duly monitor its operation, including in view of detecting and addressing anomalies, dysfunctions and unexpected performance; to remain aware of the possible tendency of automatically relying or over-relying on the output produced by a high-risk AI system (automation bias)",,,,,,,,
51,14,LLM-R14-06,Enable correct interpretation of system output,Article 14(4)(c),The provider shall equip overseers with appropriate tools and methods to correctly interpret the high‑risk AI system’s output.,Provider,All high‑risk AI systems,"The system must be supplied together with interpretation tools, guidelines, or methods that facilitate accurate understanding of outputs.","[""Interpretation tool specifications"", ""Guidelines or decision‑support documentation""]","to correctly interpret the high-risk AI system’s output, taking into account, for example, the interpretation tools and methods available",,,,,,,,
52,14,LLM-R14-07,Empower overseers to reject or override system output,Article 14(4)(d),"Oversight persons must be able, in any particular situation, to decide not to use the high‑risk AI system or to disregard, override or reverse its output.",Deployer / Assigned natural persons,All high‑risk AI systems,"The system shall provide mechanisms (e.g., interface options, procedural rights) that allow overseers to bypass or reverse outputs without technical impediment.","[""Interface screenshots showing override/reject functions"", ""Procedural logs documenting instances of overridden outputs""]","to decide, in any particular situation, not to use the high-risk AI system or to otherwise disregard, override or reverse the output of the high-risk AI system",,,,,,,,
